iter	Passed	Remaining
0	210	210686
1	248	123986
2	284	94617
3	323	80672
4	360	71740
5	382	63358
6	397	56451
7	413	51304
8	427	47024
9	441	43734
10	456	41087
11	471	38792
12	485	36824
13	502	35365
14	519	34144
15	537	33033
16	550	31827
17	564	30817
18	579	29894
19	592	29018
20	607	28299
21	621	27650
22	638	27136
23	654	26605
24	668	26067
25	682	25553
26	696	25105
27	712	24724
28	725	24291
29	738	23886
30	752	23513
31	766	23180
32	780	22865
33	793	22549
34	806	22239
35	821	21991
36	833	21691
37	846	21419
38	859	21181
39	872	20951
40	885	20706
41	897	20479
42	911	20295
43	924	20091
44	938	19919
45	951	19742
46	964	19554
47	979	19418
48	992	19253
49	1005	19107
50	1019	18967
51	1030	18793
52	1044	18664
53	1056	18512
54	1069	18371
55	1082	18252
56	1095	18130
57	1109	18017
58	1122	17902
59	1133	17756
60	1146	17646
61	1159	17538
62	1172	17444
63	1185	17341
64	1196	17217
65	1211	17144
66	1223	17041
67	1237	16957
68	1247	16837
69	1260	16750
70	1273	16659
71	1286	16578
72	1297	16481
73	1312	16423
74	1326	16357
75	1337	16265
76	1350	16188
77	1362	16109
78	1375	16038
79	1390	15992
80	1404	15930
81	1418	15885
82	1431	15819
83	1443	15743
84	1456	15679
85	1469	15621
86	1482	15553
87	1494	15483
88	1506	15422
89	1520	15372
90	1532	15311
91	1545	15252
92	1557	15191
93	1570	15134
94	1582	15072
95	1593	15007
96	1607	14967
97	1620	14915
98	1632	14854
99	1643	14789
100	1655	14732
101	1667	14678
102	1679	14622
103	1690	14567
104	1703	14522
105	1715	14470
106	1727	14421
107	1739	14365
108	1751	14318
109	1763	14266
110	1774	14214
111	1787	14171
112	1802	14150
113	1815	14108
114	1826	14053
115	1837	13999
116	1848	13950
117	1859	13899
118	1871	13853
119	1882	13806
120	1895	13770
121	1908	13732
122	1921	13699
123	1932	13650
124	1942	13598
125	1954	13556
126	1968	13530
127	1981	13497
128	1993	13458
129	2005	13418
130	2017	13381
131	2029	13348
132	2042	13311
133	2052	13264
134	2066	13242
135	2078	13204
136	2089	13159
137	2103	13139
138	2114	13097
139	2126	13061
